# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
002:098	جس کسی نے دشمنی کی اللہ سے اور اس کے فرشتوں اور اس کے رسولوں سے اور جبرائیل اور میکائیل(علیہما السلام)سے تو یقینا اللہ(ایسے)کافروں کے دشمن ہیں۔
002:099	اور یقیناً ہم نے آپ پر واضح دلائل نازل فرمائے اور ان کا انکار صرف بدکار ہی کرتے ہیں۔
002:100	کیا ایسا نہیں ہوتا رہا کہ جب کبھی انہوں نے کوئی عہدکیا تو ان میں سے ایک طبقے نے اس کو توڑ دیا بلکہ ان میں سے اکثر تو (اس عہد پر)یقین ہی نہیں رکھتے۔
002:101	اور جب کبھی اللہ کی طرف سے ان کے پاس کوئی رسول آیا (حالانکہ وہ)جو ان کے پاس(کتاب)ہے اس کی تصدیق کرتا تھا تو ان اہل کتاب میں سے ایک جماعت نے(ان کا)انکار کردیا اللہ کی کتاب کو بھی قابل اعتناء نہ سمجھا (پیٹھ پیچھے کردیا)جیسا کہ وہ جانتے ہی نہ ہوں۔
002:102	اور انہوں نے ایسی چیز کا اتباع کیا جو سلیمان(علیہ السلام)کے زمانے میں شیاطین(جن اور انسان)پڑھا کرتے تھے اور سلیمان(علیہ السلام) نے کفر نہیں کیا مگرہاں شیاطین کفر کیا کرتے تھے لوگوں کو سحر کی تعلیم دیتے تھے اور جو کچھ بابل (شہر)میں ہاروت اور ماروت(دوفرشتوں)پہ نازل کیا گیا اور وہ بھی جب تک کہہ نہ دیتے کہ ہمارا وجود بھی ایک امتحان ہے سو کفر میں نہ جا پڑنا سو وہ کسی کو نہیں سکھاتے تھے تو یہ ان سے (ایسا سحر)سیکھنا چاہتے تھے جس سے میاں اور اس کی بیوی میں جدائی ڈال دیں مگر یہ (جادوگر)اس سے اللہ کے حکم کے سوا کسی کا کچھ نہیں بگاڑ سکتے اور ایسی چیز(سحر)سیکھتے جو ان کو نقصان تو پہنچائے اور انہیں نفع نہ دے۔ اور یہ بھی جانتے تھے کہ جس نے اس چیز کو اختیار کیا اس کا آخرت میں کچھ حصہ نہیں ہے اور وہ بہت برا ہے جس کے پیچھے انہوں نے اپنی جان لگادی کاش یہ جانتے ہوتے۔
002:103	اور اگر یہ ایمان لاتے اور پرہیز گاری اختیار کرتے تو اللہ کے ہاں اس کا معاوضہ بہتر تھا کاش ان کو اتنی عقل ہوتی۔
002:104	اے ایمان والو! ’راعنا‘ مت کہا کرو اور ’انظرنا‘ (ہماری طرف توجہ فرمائیے)کہا کرو اور (اچھی طرح)سن لو اور(ان)کافروں کے لئے درناک عذاب ہے۔
002:105	کافر اہل کتاب اور مشرک نہیں چاہتے کہ تم پر تمہارے پروردگار کی طرف سے بھلائی نازل ہو اور اللہ جسے چاہتے ہیں اپنی رحمت کے لئے خاص کر لیتے ہیں اور اللہ بڑے فضل والے ہیں۔
002:106	جو آیت ہم موقوف کرتے ہیں یا اسے بھلا دیتے ہیں تو اس کی جگہ اس سے بہتر یا اس جیسی لے آتے ہیں(اے معترض!)کیا تجھ کو معلوم نہیں کہ اللہ ہر چیز پر قادر ہیں۔
002:107	کیا تو نہیں جانتا کہ آسمانوں اور زمین کی بادشاہت اللہ کےلیئے ہے اور اللہ کے علاوہ کوئی تمہارا دوست ہے اور نہ مددگار۔
002:108	کیا تم چاہتے ہو کہ اپنے رسول سے ایسے سوال کرو جیسے پہلے موسیٰ(علیہ السلام)سے پوچھے گئے اور جو کوئی ایمان کو کفر سے بدل ڈالے تو یقینا وہ سیدھی راہ سے بھٹک گیا۔
002:109	اہل کتاب میں سے اکثر یہ چاہتے ہیں کہ کاش! تمہیں ایمان لانے کے بعد کافر بناڈالیں (محض)حسد کی وجہ سے جو ان کے دلوں میں ہے ان پر حق واضح ہو جانے کے بعد (ایسا کرتے ہیں)پس معاف کردو اور درگزر کرو حتیٰ کہ اللہ اپنا حکم بھیج دیں یقینا اللہ ہر چیز پر قادر ہیں۔
002:110	اور نماز کو قائم رکھو (پابندی سے ادا کرو)اور زکوٰۃ ادا کرو اور جو نیکی تم اپنے لیئے آگے بھیجتے ہو اسے اللہ کے ہاں پاؤ گے اور جو عمل تم کرتے ہو یقینا اللہ اسے دیکھ رہے ہیں۔
002:111	اور یہ کہتے ہیں سوائے یہودیوں اور نصاریٰ کے کوئی جنت میں ہرگزداخل نہ ہوگا یہ (محض)ان کی آرزوئیں ہیں فرمائیے اگر تم سچے ہو تو اپنی دلیل پیش کرو۔
002:112	ہاں جو شخص اپنا رخ اللہ کی طرف جھکادے اور وہ مخلص(بھی)ہو تو ایسے بندے کے لیئے اللہ کے پاس اس کا اجر ہے اور ایسے لوگوں کو نہ ڈر ہوگا اور نہ افسوس۔
002:113	اور یہودکہتے ہیں نصاریٰ کے مذہب کی کوئی بنیاد نہیں اور نصاریٰ کہتے ہیں یہود کے مذہب کی کوئی بنیاد نہیں اور حالانکہ یہ (سب)لوگ(آسمانی)کتاب بھی پڑھتے ہیں یہی بات جاہل لوگ بھی انہی کی طرح کہتے ہیں تو جن باتوں میں یہ اختلاف کرتے ہیں اللہ قیامت کے روز ان کے درمیان فیصلہ فرمادیں گے۔
002:114	اور جو مسجدوں میں اللہ کے نام کا ذکر کرنے سے روکے اس سے بڑا ظالم کون ہوگا اور ان کو ویران کرنے کی کوشش کرے۔ ان کو لازم تھا کہ ان (مساجد)میں ڈرتے ہوئے داخل ہوتے۔ایسے لوگوں کے لئے دنیا میں رسوائی ہے اور ان کے لیئے آخرت میں بہت بڑا عذاب۔
002:115	اور مشرق ومغرب اللہ کےلیئے ہیں تو تم جس طرف رخ کرو تو اسی طرف اللہ کا رخ ہے کہ اللہ تمام جہات کو محیط(اور) بہت علم والے ہیں۔
002:116	اور کہتے ہیں کہ اللہ کی اولاد ہے۔ وہ (اللہ)پاک ہے اس سے بلکہ جو کچھ آسمانوں اور زمین میں ہے سب اسی کا ہے ہر شے اس کے حکم کے تابع(فرماں بردار ہے)ہے۔
002:117	وہ آسمانوں اور زمین کا پیدا کرنے والا ہے۔ اور جب کسی کام کو پورا کرنا چاہتا ہے تو اسے فرمادیتا ہے کہ ہوجا تو وہ ہوجاتا ہے۔
002:118	اور جاہل لوگ کہتے ہیں اللہ ہم سے کیوں بات نہیں کرتا یا ہمارے پاس کوئی اورنشانی نہیں آئی ان سے پہلے (جاہل)لوگوں نے بھی ان ہی کی طرح کی بات کہی تھی ان کے قلوب ایک دوسرے سے ملتے ہیں ہم نے یقین لانے والوں کے لیئے نشانیاں بیان کردی ہیں۔
002:119	یقیناً ہم نے آپ کو (دین)حق کے ساتھ بھیجا ہے خوشخبری دینے والا اور (انجام بد سے)ڈرانے والا اور اہل جہنم کے بارے آپ سے پرسش نہ ہو گی۔
002:120	اور آپ سے یہود اور نصاریٰ تب تک راضی نہ ہوں گے جب تک آپ ان کی خواہشات کی پیروی نہ کریں(ان سے)کہہ دیجئے کہ یقینا اللہ کی ہدایت ہی، ہدایت ہے اور اگر آپ نے ، آپ کے پاس علم آجانے کے بعد ان کی بات مانی تو اپنےلیئے اللہ سے بچانے والا نہ کوئی دوست پائیں گے اور نہ مددگار۔
002:121	جن لوگوں کو ہم نے کتاب دی وہ اس کو پڑھنے کا حق ادا کرتے ہیں۔ یہی لوگ اس پر ایمان لاتے ہیں اور جو لوگ اس کا انکار کرتے ہیں تو وہی نقصان اٹھانے والے ہیں۔
002:122	اے اولاد یعقوبؑ! میری نعمت یاد کرو جو میں نے تم پر انعام کی اور میں نے تم کو(تمہارے عہد کے)جہانوں پر بزرگی دی۔
002:123	اور ڈرو اس دن سے جب کوئی کسی کی کفایت نہ کرے گا اور نہ اس سے معاوضہ قبول کیا جائے گا نہ کسی اور کی سفارش اس کے کام آئے گی اور نہ وہ مدد دیئے جائیں گے۔
002:124	اور جب ابراہیم(علیہ السلام)کو ان کے پروردگار نے کئی باتوں میں آزمایا تو انہوں نے وہ پوری کیں(تو اللہ نے) فرمایا میں تم کو لوگوں کا مقتداء بنانے والا ہوں انہوں نے عرض کیا اور میری اولاد میں سے، فرمایا میرا(یہ)عہد ظالموں(بدکاروں)کو نہ ملے گا۔
002:125	اور جب ہم نے کعبہ کو لوگوں کے لئے ثواب اور امن کی جگہ بنایا اور مقام ابراہیم کو(کبھی کبھی) نماز پڑھنے کی جگہ بنالو اور ابراہیم اور اسماعیل (علیہما السلام)کو فرمایا میرے گھر کو طواف اور اعتکاف کرنے اور رکوع وسجود کرنے والوں کے لیئے پاک صاف رکھا کرو۔
002:126	اور جب ابراہیم(علیہ السلام)نے دعا کی اے میرے پروردگار! اس جگہ کو امن کا شہر بنائیے اور اس کے رہنے والوں میں سے اس کو جو اللہ اور آخرت کے دن پر ایمان رکھتا ہو پھل عطا فرمائیے۔ فرمایا اور جو کفر کرے گا سو اس کو بھی تھوڑا عرصہ (یعنی دنیا میں)بہت آرام دوں گا پھر اس کو کشاں کشاں آگ کے عذاب میں پہنچاؤں گا اور وہ پہنچنے کی بہت بری جگہ ہے۔
002:127	اور جب ابراہیم اور اسماعیل (علیہما السلام) بیت اللہ کی بنیادیں اٹھارہے تھے (اور دعا کررہے تھے)اے ہمارے پروردگار! ہماری یہ کاوش قبول فرمائیے یقیناً آپ سننے(اور)جاننے والے ہیں۔
002:128	اے ہمارے پروردگار! اور ہم دونوں کو اپنا فرمانبردار بنائیے اور ہماری اولاد میں ایسی جماعت بنائیے جو آپ کی فرمانبردار ہو اور ہمیں (عبادت اور حج کے)احکامات بتادیجئے اور ہمارے حال پر توجہ فرمائیے بے شک آپ ہی توجہ فرمانے والے (اور) رحم کرنے والے ہیں۔
002:129	اے ہمارے پروردگار! ان میں ان ہی میں سے ایک پیغمبر بھیجئے (مبعوث فرمائیے) جو ان کو آپ کی آیات سنائے اور انہیں کتاب اور حکمت کی تعلیم دے اور انہیں پاک کرے۔ بے شک آپ ہی غالب (اور)حکمت والے ہیں۔
002:130	اور ابراہیم (علیہ السلام) کے دین سے کون روگردانی کرسکتا ہے سوائے اس کے جو بہت نادان ہو اور یقیناً ہم نے ان کو دنیا میں بھی پسند کیااور آخرت میں بھی وہ یقیناً صالحین میں شمار ہوں گے۔
002:131	جب ان کو ان کے پروردگار نے فرمایا اطاعت اختیار کرو تو انہوں نے کہا میں نے جہانوں کے پالنے والے کی اطاعت اختیار کی۔
002:132	اور ابراہیم(علیہ السلام)اور یعقوب (علیہ السلام)اپنے بیٹوں کو اس کا حکم کر گئے کہ اے میرے بیٹو! بے شک اللہ نے تمہارے لیئے(یہی)دین پسند کیا ہے پس اگر موت آئے تو مسلمان ہونے پر ہی آئے۔
002:133	کیا تم اس وقت موجود تھے جب یعقوب(علیہ السلام)کو موت آئی جب انہوں نے اپنے بیٹوں سے کہا میرے بعد تم کس کس کی عبادت کرو گے؟ تو انہوں نے کہا آپ کے معبود اور آپ کے باپ دادا ابراہیم، اور اسماعیل اور اسحق (علیہم السلام)کے معبود کی جو اکیلا معبود ہے اور ہم اسی کے فرمانبردار ہیں۔
002:134	یہ ایک جماعت تھی جو گزر گئی جو اس نے کمایا وہ اس کےلیئےہے اور جو تم کماؤ گے وہ تمہارے لئے ہے اور تم سے ان کے اعمال کے بارے نہ پوچھا جائے گا۔
002:135	اور کہتے ہیں کہ یہودی یانصرانی ہوجاؤ تو سیدھے راستے پر آجاؤ گے (ان سے)کہو بلکہ (ہم تو)دین ابراہیم(علیہ السلام)(کی پیروی کرتے ہیں)جو ایک اللہ کے ہورہے تھے اور شرک کرنے والوں میں سے نہ تھے۔
002:136	کہو ہم ایمان لائے اللہ کے ساتھ اور جو ہم پر نازل ہوا اور جو ابراہیم، اور اسمعیل، اور اسحق ، اور یعقوب(علیہم السلام)اور ان کی اولاد پر نازل ہوا اور جو عطا ہوا موسیٰ (علیہ السلام)اور عیسیٰ (علیہ السلام)کواور جو (دوسرے)نبیوں کو ان کے پروردگار کی طرف سے عطا ہوا ہم ان میں سے کسی ایک میں کوئی فرق نہیں کرتے اور ہم اسی (اللہ واحد) کے فرمانبردار ہیں۔
