# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
002:070	انہوں نے کہا کہ اپنے رب سے ہمارے لئے دعا کریں ہمیں بتا دے کہ وہ بیل کیسا ہے؟ بلا شبہ ہمیں اس بیل کے بارہ میں اشتباہ ہے اور یقیناً ہم اس بار اگر اللہ نے چاہا تو ضرور سمجھ جائیں گے۔	They said, ‘Pray to your Rabb for us to explain to us what kind of a bull is it? Surely, we are in ambiguity about this bull; and if Allah wills, we will certainly understand it this time.’
002:071	تو انہوں نے فرمایا کہ وہ فرماتا ہے وہ بیل نہ ہل جوتا ہوا ہے کہ کھیتی میں ہل چلایا ہو اور نہ اس سے زراعت کی آبپاشی کی گئی ہو ہر نقص سے پاک ہے اس میں کوئی داغ نہیں کہنے لگے اب آپ نے ٹھیک کہا پھر انہوں نے اس (بیل)کو ذبح کیا اور لگتا تھا کہ وہ ایسا نہیں کریں گے۔	So he said, ‘He says, the bull has not been yoked that it might have tilled land, nor has been used to irrigate the fields, it is free of all defects and is unblemished.’ They said, ‘Now you have told us accurately.’ Then they slaughtered it (the bull), and it seemed that they were not going to do it.
002:072	اور جب تم لوگوں نے ایک بندہ قتل کردیا پھر اس پر تمہارے اختلافات پیدا ہوئے اور جو بات تم چھپانا چاہتے تھے، اللہ اس کو ظاہر کرنے والے تھے۔	And when you people killed a man, then differences arose among you over it. And Allah was going to reveal the matter that you wanted to conceal.
002:073	تو ہم نے کہا کہ اس (میت )کو اس(بیل)کے ٹکڑے سے چھوُ دو اسی طرح اللہ(قیامت کو) مردوں کو زندہ کریں گے اور وہ تم کو اپنی نشانیاں دکھاتے ہیں تاکہ تم سمجھ سکو۔	So We said, ‘Touch him ( the dead body) with a piece of this (bull).’ And in this manner, will Allah revive the dead (on the Day of Qiyamah); and He shows you His Signs so that you may understand.
002:074	پھر اس کے بعد تمہارے دل سخت ہو گئے پتھروں کی طرح بلکہ ان سے کہیں زیادہ سخت اور یقیناً بعض چٹانیں ایسی ہوتی ہیں کہ ان میں سے نہریں پھوٹ نکلتی ہیں اور بے شک بعض ان میں پھٹ جاتی ہیں تو ان میں سے پانی بہہ نکلتا ہے اور بے شک کچھ ان میں ایسی ہوتی ہیں کہ خشیت الٰہی سے گر جاتی ہیں۔ اور اللہ تمہارے اعمال سے بے خبر نہیں۔	Then after that, your hearts hardened like stones, rather much harder than them; and indeed, certain rocks are such that streams burst forth from them, and undoubtedly, some of them split so water flows out from them, and no doubt, some of them are such that they fall down with Allah’s fear. And Allah is not Unaware of your deeds.
002:075	تو کیا تم(مسلمانو!)امید رکھتے ہو کہ یہ تمہارے ساتھ ایمان لے آئیں گے اور حالانکہ ان میں کچھ لوگ (ایسے بھی تھے کہ)اللہ کے کلام کو سننے اور سمجھنے کے بعد اس میں ردّوبدل کردیتے اور جان بوجھ کر کرتے تھے۔	So do you (Muslims!) hope that they will believe with you, and even though some people among them (were also those who) would alter Allah’s Word after listening and understanding it, and they did it intentionally?
002:076	اور جب مسلمانوں سے ملتے تو کہتے ہم ایمان لائے اور جب اکیلے ہوتے بعض دوسروں کے ساتھ تو (ان سے)کہتے کہ تم وہ باتیں کیوں ظاہر کرتے ہو جو اللہ نے تم پر منکشف کردی ہیں اس طرح تو یہ لوگ (قیامت کو)تمہارے پروردگار کے سامنے سچے ہوجائیں گے تو کیا تمہیں اتنی بھی عقل نہیں ہے؟۔	And when they met the Muslims, they would say, ‘We believe,’ and when they were alone with some of the others, they would say (to them), ‘Why do you disclose the matters that Allah has revealed to you? In this way, these people will be proved true before your Rabb (on the Day of Qiyamah). Don’t you have even that much sense?’
002:077	کیا وہ اتنا بھی نہیں سمجھتے کہ جو یہ چھپاتے ہیں اور جو ظاہر کرتے ہیں اللہ سب جانتے ہیں۔	Do they not understand even this much that Allah knows all that which they conceal and which they reveal?
002:078	اور ان میں کچھ تو ان پڑھ ہیں کتاب کا علم تو رکھتے نہیں سوائے اپنے (دل خوش کن)خیالات کے اور محض گمان کے سوا کچھ نہیں رکھتے۔	And some among them are illiterate; they have no knowledge of the Book except for their own (self-pleasing) thoughts and possess nothing but conjecture.
002:079	سو ایسے لوگوں کے لیئے بڑی خرابی ہے جو اپنے ہاتھ سے کتاب لکھتے ہیں پھر کہہ دیتے ہیں یہ اللہ کی طرف سے ہے تاکہ اس سے تھوڑی سی دولت (دنیوی منفعت)حاصل کرسکیں سو جو انہوں نے اپنے ہاتھوں سے لکھا وہ بھی ان کے لیئے بہت خرابی ہے اور جو اس کے بدلے کمایا وہ بھی خرابی کا سبب ہے۔	So there is great woe to such people who write the book with their own hands then say, ‘This is from Allah,’ so that they may make a petty gain (worldly profit). So what they write with their own hands is also great woe to them; and what they earn thereby, that too is a cause of woe.
002:080	اور کہتے ہیں ہمیں تو صرف چند روز آگ کا عذاب ہوگا فرمادیجئے کہ کیا تم نے اللہ سے وعدہ لیا ہے کہ اللہ اپنے اس وعدہ کے خلاف نہ کریں گے یا تم اللہ کے بارے ایسی بات کہتے ہو جو تم جانتے ہی نہیں(بے سند بات)۔	And they say, ‘We will suffer the torment of the Fire for only a few days.’ Ask them, ‘Have you taken a promise from Allah, so that Allah will not go against this promise of His, or do you say something about Allah, which you do not even know (a baseless statement)?’
002:081	ہاں یہ درست ہے کہ جوکوئی گناہ کرے اور اس کے گناہ اس پر چھا جائیں تو ایسے ہی لوگ دوزخ کے رہنے والے ہیں وہ اس میں ہمیشہ رہیں گے۔	Yes, it is correct that whoever sins and his sins cover him, then it is such people who are the inmates of Hell, and they shall remain in it forever.
002:082	اور جو لوگ ایمان لائے اور نیک کام کیے وہ جنت میں رہنے والے ہیں وہ اس میں ہمیشہ رہیں گے۔	And the people who believed and performed righteous deeds, they are the dwellers of Paradise, and they shall remain in it forever.
002:083	اور جب ہم نے اولاد یعقوبؑ سے عہدلیا کہ اللہ کے سوا کسی کی عبادت نہ کرو اور والدین کے ساتھ احسان کرو اور قرابت داروں اور یتیموں اور مسکینوں سے اور لوگوں سے اچھی بات کہو اور نماز قائم رکھو اور زکوٰۃ دو پھر تم میں سے سوائے چند لوگوں کے تم (اس سے)پھر گئے اور تم پھر جانے والے (عہد شکن)ہو۔	And when We took the pledge from the Children of Yaqoob (Alaihi as-Salam) to worship none except Allah, and to do favour to parents and the kindred and orphans and the poor, and to speak good words with people, and to establish Salah and to give Zakat; then except for a few, you turned away (from this), and you are backsliders (pledge-breakers).
002:084	اور جب ہم نے تم سے عہد لیا کہ تم آپس میں خون نہ بہاؤ گے اور اپنے لوگوں کو اپنے گھروں سے نہ نکالو گے (یعنی علاقہ بدر نہ کرو)پھر تم نے وعدہ کیا اور تم اس کے گواہ ہو۔	And when We took a pledge from you not to shed blood among yourselves, and not to drive your people out of their homes (meaning, do not banish them from the area), then you made the promise and you are its witnesses.
002:085	پھر تم ہی وہ لوگ ہو کہ اپنوں کا خون کرتے ہو اور اپنے کچھ لوگوں کو اور ان کے دیس سے نکال دیتے ہو اور ان کے خلاف(ظلم اور زیادتی کرنے والوں کی)مدد کرتے ہو گناہ کرتے ہوئے اور حد سے گزرتے ہوئے اور اگر یہی لوگ تمہارے پاس قیدی ہوکر آتے ہیں تو انہیں معاوضہ دے کر چھڑا دیتے ہو اور حالانکہ ان کا نکال دینا ہی تم پر حرام تھا تو کیا تم کتاب کی کچھ باتیں مان لیتے ہو اور کچھ کا انکار کردیتے ہو تو تم میں سے ایسا کرنے والے کی اور کیا سزا ہوسکتی ہے سوائے اس کے کہ دنیا کی زندگی میں رسوا ہو اور قیامت کے دن سخت عذاب میں ڈالا جائے اور اللہ تمہارے اعمال سے بے خبر نہیں۔	Yet, you are the people who kill your own folk and expel some of your people from their land, and assist (the wicked and oppressors) against them by sin and transgression. And if these very people come to you as captives, you ransom them, although their very expulsion was forbidden to you. So do you obey some Commands of the Book and deny some? So what else can be the punishment of such among you except to be disgraced in the life of the world, and be subjected to severe torment on the Day of Qiyamah? And Allah is not Unaware of your deeds.
002:086	جو لوگ آخرت کے بدلے دنیا کی زندگی (مال ودولت)خریدتے ہیں تو ان پر کبھی عذاب کم نہ کیا جائے گا اور نہ ان کی کوئی مدد کی جائے گی۔	Those people who purchase the worldly life (wealth and property) in exchange for the Hereafter, the torment will never be lightened for them, nor will they be given any help.
002:087	اور یقیناً ہم نے موسیٰ (علیہ السلام)کو کتاب دی اور ان کے بعد مسلسل انبیاء کو بھیجتے رہے اور ہم نے عیسیٰ (علیہ السلام)مریم(علیہا السلام)کے بیٹے کو(نبوت کے)واضح دلائل عطا فرمائے اور روح القدس(پاک روح) سے ان کی مدد کی تو جب کبھی تمہارے پاس نبی آیا(اور)تمہاری ذاتی خواہشات کے خلاف بات ہوئی تو تم نے تکبر کیا تو بعض کو تم نے جھٹلایا اور بعض کو قتل کردیتے ہو۔	And surely We gave Musa (Alaihi as-Salam) the Book and kept sending Messengers successively after him, and We granted clear proofs (of Prophethood) to Isa (Alaihi as-Salam) son of Maryam (Alaiha as-Salam) and supported him with the Rooh-ul Qudus (the Holy Rooh). So whenever a Messenger came to you (and) with something that happened to be against your personal desires, you became arrogant. So some you belied and some you killed.
